symptoms,188,Abdominal guarding,guarda abdominal
symptoms,10,Abdominal pain,Dor abdominal
symptoms,223,Abdominal pain associated with menstruation,dor abdominal associada à menstruação
symptoms,984,Absence of a pulse,Ausência de um pulso
symptoms,974,Aggressiveness,Agressividade
symptoms,981,Agitation,Agitação
symptoms,996,Ankle deformity,deformidade no tornozelo
symptoms,147,Ankle swelling,inchaço do tornozelo
symptoms,238,Anxiety,Ansiedade
symptoms,1009,Arm pain,Dor no braço
symptoms,971,Arm swelling,braço inchaço
symptoms,998,Back deformity,Voltar deformidade
symptoms,104,Back pain,Dor nas costas
symptoms,180,Black stools,fezes pretas
symptoms,57,Blackening of vision,Escurecimento da visão
symptoms,24,Blackhead,Cravo
symptoms,284,Bleeding from vagina,Sangramento da vagina,
symptoms,176,Bleeding in the conjunctiva of the eye,Sangramento na conjuntiva do olho
symptoms,48,Bloated feeling in the stomach,sensação de inchaço no estômago
symptoms,190,Blood in stool,Sangue nas fezes
symptoms,233,Bloody cough,sangrenta tosse
symptoms,991,Blue colored skin,pele de cor azul
symptoms,240,Blue spot on skin,mancha azul na pele
symptoms,77,Blurred vision,Visão embaçada
symptoms,239,Bold area among hair on the head,área negrito entre cabelo na cabeça
symptoms,156,Bone fracture,Fratura óssea
symptoms,250,Breathing-related pains,dores relacionadas com a respiração
symptoms,979,Brittleness of nails,Fragilidade das unhas
symptoms,192,Bulging abdominal wall,Abaulamento da parede abdominal
symptoms,75,Burning eyes,Olhos queimando
symptoms,46,Burning in the throat,Queimação na garganta
symptoms,288,Burning nose,queimando nariz
symptoms,107,Burning sensation when urinating,Sensação de ardor ao urinar
symptoms,91,Changes in the nails,Altera nas unhas
symptoms,170,Cheek swelling,inchaço Cheek
symptoms,17,Chest pain,Dor no peito
symptoms,31,Chest tightness,aperto no peito
symptoms,175,Chills,Arrepios
symptoms,218,Coarsening of the skin structure,Engrossamento da estrutura da pele
symptoms,89,Cold feet,Apreensivo
symptoms,978,Cold hands,Mãos frias
symptoms,139,Cold sweats,suores frios
symptoms,15,Cough,Tosse
symptoms,228,Cough with sputum,Tosse com expectoração
symptoms,94,Cramps,Cólicas
symptoms,49,Cravings,cravings
symptoms,134,Crusting,crostas
symptoms,260,Curvature of the spine,Curvatura da coluna vertebral
symptoms,108,Dark urine,urina escura
symptoms,163,Decreased urine stream,fluxo de urina diminuiu
symptoms,165,Delayed start to urination,Delayed início a micção
symptoms,50,Diarrhea,Diarréia
symptoms,79,Difficult defecation,defecação difícil
symptoms,126,Difficulty in finding words,Dificuldade em palavras Encontrar
symptoms,98,Difficulty in speaking,Dificuldade em falar
symptoms,93,Difficulty in swallowing,Dificuldade em engolir
symptoms,53,Difficulty to concentrate,Dificuldade de concentrado
symptoms,1007,Difficulty to learn,Dificuldade para aprender
symptoms,1005,Difficulty with gait,Dificuldade com marcha
symptoms,216,Discoloration of nails,Descoloração das unhas
symptoms,128,Disorientation regarding time or place,Desorientação em relação ao tempo ou lugar
symptoms,989,Distended abdomen,abdômen distendido
symptoms,207,Dizziness,Tontura
symptoms,71,Double vision,Visão dupla
symptoms,270,Double vision, acute-onset,visão dupla, de início agudo
symptoms,162,Dribbling after urination,Babar após a micção
symptoms,244,Drooping eyelid,queda da pálpebra
symptoms,43,Drowsiness,sonolência
symptoms,273,Dry eyes,Olhos secos
symptoms,272,Dry mouth,Boca seca
symptoms,151,Dry skin,Pele seca
symptoms,87,Earache,Dor de ouvido
symptoms,92,Early satiety,saciedade precoce
symptoms,1011,Elbow pain,dor de cotovelo
symptoms,1006,Enlarged calf,bezerro alargada
symptoms,242,Eye blinking,piscar de olhos
symptoms,287,Eye pain,Dor nos olhos
symptoms,33,Eye redness,vermelhidão ocular
symptoms,208,Eyelid swelling,pálpebra inchaço
symptoms,209,Eyelids sticking together,Pálpebras coladas
symptoms,219,Face pain,dor facial
symptoms,246,Facial paralysis,Paralisia facial
symptoms,970,Facial swelling,Edema facial
symptoms,153,Fast, deepened breathing,Rápido, respiração aprofundada
symptoms,83,Fatty defecation,fatty defecação
symptoms,982,Feeling faint,Sentindo tonto
symptoms,1014,Feeling ill,ulceração
symptoms,76,Feeling of foreign body in the eye,Sensação de corpo estranho no olho
symptoms,86,Feeling of pressure in the ear,Sensação de pressão no ouvido
symptoms,164,Feeling of residual urine,Sensação de urina residual
symptoms,145,Feeling of tension in the legs,Sensação de tensão nas pernas
symptoms,11,Fever,Febre
symptoms,995,Finger deformity,deformidade do dedo
symptoms,1013,Finger pain,dor no dedo
symptoms,1012,Finger swelling,dedo inchaço
symptoms,214,Flaking skin,descamação da pele
symptoms,245,Flaking skin on the head,Descamação da pele na cabeça
symptoms,154,Flatulence,Flatulência
symptoms,255,Foot pain,Dor no pé
symptoms,1002,Foot swelling,inchaço pé
symptoms,125,Forgetfulness,Esquecimento
symptoms,62,Formation of blisters on a skin area,Formação de bolhas em uma área da pele
symptoms,84,Foul smelling defecation,defecação mau cheiro
symptoms,59,Frequent urination,micção freqüente
symptoms,110,Genital warts,Verrugas genitais
symptoms,152,Hair loss,Perda de cabelo
symptoms,976,Hallucination,Alucinação
symptoms,72,Halo,aréola
symptoms,186,Hand pain,dor na mão
symptoms,148,Hand swelling,inchaço mão
symptoms,80,Hard defecation,defecação difícil
symptoms,184,Hardening of the skin,Endurecimento da pele
symptoms,9,Headache,Dor de cabeça
symptoms,206,Hearing loss,Perda de audição
symptoms,985,Heart murmur,Sopro cardíaco
symptoms,45,Heartburn,Azia
symptoms,122,Hiccups,soluços
symptoms,993,Hip deformity,deformidade Hip
symptoms,196,Hip pain,Dor no quadril
symptoms,121,Hoarseness,rouquidão
symptoms,149,Hot flushes,Ondas de calor
symptoms,197,Immobilization,imobilização
symptoms,120,Impaired balance,Desequilíbrio
symptoms,90,Impaired hearing,deficientes auditivos
symptoms,70,Impaired light-dark adaptation,Prejudicada adaptação claro-escuro
symptoms,113,Impairment of male potency,Imparidade de potência masculina
symptoms,81,Incomplete defecation,defecação incompleta
symptoms,131,Increased appetite,aumento do apetite
symptoms,262,Increased drive,aumento da unidade
symptoms,204,Increased salivation,aumento da salivação
symptoms,40,Increased thirst,aumento da sede
symptoms,220,Increased touch sensitivity,O aumento da sensibilidade ao toque
symptoms,39,Increased urine quantity,O aumento da quantidade de urina
symptoms,257,Involuntary movements,movimentos involuntários
symptoms,986,Irregular heartbeat,Arritmia cardíaca
symptoms,65,Irregular mole,molar irregular
symptoms,73,Itching eyes,coceira nos olhos
symptoms,88,Itching in the ear,Coceira no ouvido
symptoms,973,Itching in the mouth or throat,Coceira na boca ou garganta
symptoms,96,Itching in the nose,Comichão no nariz
symptoms,21,Itching of skin,Coceira da pele
symptoms,999,Itching of the anus,Comichão do ânus
symptoms,247,Itching on head,Coceira na cabeça
symptoms,268,Itching or burning in the genital area,Coceira ou ardência na área genital
symptoms,194,Joint effusion,derrame articular
symptoms,198,Joint instability,instabilidade articular
symptoms,27,Joint pain,dor nas articulações
symptoms,230,Joint redness,vermelhidão conjunta
symptoms,193,Joint swelling,Inchaço nas articulaçoes
symptoms,47,Joylessness,joylessness
symptoms,994,Knee deformity,deformidade no joelho
symptoms,256,Knee pain,Dor no joelho
symptoms,146,Leg cramps,cãibras nas pernas
symptoms,1010,Leg pain,Dor na perna
symptoms,231,Leg swelling,inchaço nas pernas
symptoms,143,Leg ulcer,úlcera de perna
symptoms,82,Less than 3 defecations per week,Menos de 3 evacuações por semana
symptoms,992,Limited mobility of the ankle,a mobilidade limitada do tornozelo
symptoms,167,Limited mobility of the back,mobilidade reduzida das costas
symptoms,178,Limited mobility of the fingers,mobilidade reduzida dos dedos
symptoms,1000,Limited mobility of the hip,a mobilidade limitada do hip
symptoms,195,Limited mobility of the leg,mobilidade reduzida da perna
symptoms,35,Lip swelling,inchaço Lip
symptoms,205,Lockjaw,Lockjaw
symptoms,210,Loss of eye lashes,Perda de cílios
symptoms,174,Lower abdominal pain,dor abdominal inferior
symptoms,263,Lower-back pain,Dor na região lombar
symptoms,261,Lump in the breast,Nódulo na mama
symptoms,266,Malposition of the testicles,Mau posicionamento dos testículos
symptoms,232,Marked veins,veias marcadas
symptoms,235,Memory gap,gap de memória
symptoms,112,Menstruation disorder,desordem menstruação
symptoms,123,Missed period,ausência de menstruação
symptoms,215,Moist and softened skin,Úmido e pele amolecida
symptoms,85,Mood swings,Mudanças de humor
symptoms,983,Morning stiffness,rigidez matinal
symptoms,135,Mouth pain,dor na boca
symptoms,97,Mouth ulcers,úlceras na boca
symptoms,177,Muscle pain,Dor muscular
symptoms,119,Muscle stiffness,Rigidez muscular
symptoms,987,Muscle weakness,Fraqueza muscular
symptoms,252,Muscular atrophy in the leg,atrofia muscular na perna
symptoms,202,Muscular atrophy of the arm,atrofia muscular do braço
symptoms,168,Muscular weakness in the arm,fraqueza muscular no braço
symptoms,253,Muscular weakness in the leg,fraqueza muscular na perna
symptoms,44,Nausea,Náusea
symptoms,136,Neck pain,Dor de pescoço
symptoms,234,Neck stiffness,Rigidez do pescoço
symptoms,114,Nervousness,nervosismo
symptoms,133,Night cough,tosse noturna
symptoms,1004,Night sweats,Suor noturno
symptoms,63,Non-healing skin wound,Não-cicatrização de feridas da pele
symptoms,38,Nosebleed,Sangramento nasal
symptoms,221,Numbness in the arm,Dormência no braço
symptoms,254,Numbness in the leg,Dormência na perna
symptoms,200,Numbness of the hands,Dormência das mãos
symptoms,137,Oversensitivity to light,Hipersensibilidade à luz
symptoms,157,Overweight,Excesso de peso
symptoms,155,Pain in the bones,Dor nos ossos
symptoms,142,Pain in the calves,Dor nas panturrilhas
symptoms,12,Pain in the limbs,Dor nos membros
symptoms,990,Pain of the anus,Dor do ânus
symptoms,203,Pain on swallowing,Dor ao engolir
symptoms,251,Pain radiating to the arm,Dor irradiada para o braço
symptoms,103,Pain radiating to the leg,Dor que irradia para a perna
symptoms,286,Pain when chewing,Dor ao mastigar
symptoms,189,Painful defecation,defecação dolorosa
symptoms,109,Painful urination,Dor ao urinar
symptoms,150,Pallor,Palidez
symptoms,37,Palpitations,taquicardia
symptoms,140,Paralysis,Paralisia
symptoms,118,Physical inactivity,Inatividade física
symptoms,129,Problems with the sense of touch in the face,Problemas com a sensação de toque na cara
symptoms,130,Problems with the sense of touch in the feet,Problemas com o sentido do tato nos pés
symptoms,258,Protrusion of the eyes,Protrusão dos olhos
symptoms,172,Purulent discharge from the urethra,descarga purulenta da uretra
symptoms,173,Purulent discharge from the vagina,descarga purulenta da vagina
symptoms,191,Rebound tenderness,Dolorimento de rebote
symptoms,54,Reduced appetite,apetite reduzido
symptoms,78,Ringing in the ear,Zumbido no ouvido
symptoms,14,Runny nose,Nariz a pingar
symptoms,975,Sadness,Tristeza
symptoms,269,Scalp redness,vermelhidão do couro cabeludo
symptoms,1001,Scar,Cicatriz
symptoms,60,Sensitivity to cold,A sensibilidade ao frio
symptoms,69,Sensitivity to glare,Sensibilidade ao brilho
symptoms,102,Sensitivity to noise,A sensibilidade ao ruído
symptoms,264,Shiny red tongue,língua vermelha brilhante
symptoms,29,Shortness of breath,Falta de ar
symptoms,183,Side pain,dor Side
symptoms,26,Skin lesion,Lesão na pele
symptoms,25,Skin nodules,nódulos cutâneos
symptoms,124,Skin rash,erupção cutânea
symptoms,61,Skin redness,vermelhidão da pele
symptoms,217,Skin thickening,espessamento da pele
symptoms,34,Skin wheal,pele pápula
symptoms,241,Sleepiness with spontaneous falling asleep,Sonolência com espontânea adormecer
symptoms,52,Sleeplessness,Insônia
symptoms,95,Sneezing,espirros
symptoms,13,Sore throat,Dor de garganta
symptoms,64,Sputum,Escarro
symptoms,179,Stomach burning,queima de estômago
symptoms,185,Stress-related leg pain,dor nas pernas relacionadas com o estresse
symptoms,28,Stuffy nose,Nariz entupido
symptoms,138,Sweating,sudorese
symptoms,236,Swelling in the genital area,Inchaço na área genital
symptoms,267,Swelling of the testicles,Inchaço dos testículos
symptoms,248,Swollen glands in the armpit,Inchaço das glândulas na axila
symptoms,249,Swollen glands in the groin,Inchaço das glândulas na virilha
symptoms,169,Swollen glands in the neck,Glândulas inchadas no pescoço
symptoms,211,Tears,Lágrimas
symptoms,222,Testicular pain,dor testicular
symptoms,243,Tic,tique
symptoms,201,Tingling,formigueiro
symptoms,16,Tiredness,Cansaço
symptoms,997,Toe deformity,deformidade do dedo do pé
symptoms,1003,Toe swelling,inchaço toe
symptoms,980,Tongue burning,queima Tongue
symptoms,977,Tongue swelling,inchaço da língua
symptoms,1008,Toothache,Dor de dente
symptoms,115,Tremor at rest,Tremor em repouso
symptoms,132,Tremor on movement,Tremor em movimento
symptoms,988,Trouble understanding speech,compreensão da fala problemas
symptoms,144,Unconsciousness, short,Inconsciência, curta
symptoms,265,Uncontrolled defecation,defecação descontrolada
symptoms,116,Underweight,Abaixo do peso
symptoms,160,Urge to urinate,Vontade de urinar
symptoms,161,Urination during the night,Urinar durante a noite
symptoms,68,Vision impairment,deficiência visual
symptoms,213,Vision impairment for far objects,deficiência visual para objetos distantes
symptoms,166,Vision impairment for near objects,deficiência visual para objetos próximos
symptoms,66,Visual field loss,perda de campo visual
symptoms,101,Vomiting,vómitos
symptoms,181,Vomiting blood,Vomitando sangue
symptoms,972,Weakness or numbness on right or left side of body,Fraqueza ou dormência no lado direito ou esquerdo do corpo
symptoms,23,Weight gain,Ganho de peso
symptoms,22,Weight loss,Perda de peso
symptoms,30,Wheezing,pieira
symptoms,187,Wound,Ferida
symptoms,105,Yellow colored skin,pele de cor amarela
symptoms,106,Yellowish discoloration of the white part of the eye,coloração amarelada da parte branca do olho